Knowledge Management	
Consulting	
Planning	
Senior Management/ General Management	
Project/ Program Management non IT	
Operations	
Senior Management-Operation	
Economist	
Strategic planning	
Production/ Manufacturing/ Engineering	R&D/ Research & Development,Production/ Manufacturing/ Engineering,Design,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Maintenance,Operations,Knowledge Management,Consulting,Planning,IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,Business Analytics
Senior Management-Production	R&D/ Research & Development,Production/ Manufacturing/ Engineering,Design,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Maintenance,Operations,Knowledge Management,Consulting,Planning,IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,Business Analytics
Design	R&D/ Research & Development,Production/ Manufacturing/ Engineering,Design,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Maintenance,Operations,Knowledge Management,Consulting,Planning,IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,Business Analytics
R&D/ Research & Development	R&D/ Research & Development,Production/ Manufacturing/ Engineering,Design,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Maintenance,Operations,Knowledge Management,Consulting,Planning,IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,Business Analytics
Quality Control - Product/ Process	R&D/ Research & Development,Production/ Manufacturing/ Engineering,Design,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Maintenance,Operations,Knowledge Management,Consulting,Planning,IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,Business Analytics
Senior Management-Technology	R&D/ Research & Development,Production/ Manufacturing/ Engineering,Design,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Maintenance,Operations,Knowledge Management,Consulting,Planning,IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,Business Analytics
Maintenance	Production/ Manufacturing/ Engineering,Design,R&D/ Research & Development,Quality Control - Product/ Process,Senior Management-Production,Senior Management/ General Management,Project/ Program Management non IT,Senior Management-Operation,Senior Management-Technology,Maintenance,Operations,Knowledge Management,Consulting,Planning,Customer Service,Client Servicing,After Sales Service - Product,Administration/ Facilities,Senior Management-Admin
IT/ Information Technology	IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,R&D/ Research & Development,Design,Production/ Manufacturing/ Engineering,Business Analytics,Planning,Consulting,Strategic planning,Senior Management/ General Management,Quality Control - Product/ Process,Knowledge Management
Project/ Program Management IT	IT/ Information Technology,Project/ Program Management IT,Software Design & Development,Quality Control/ Quality Assurance - Software,Senior Management-Technology,Testing - Software,Software Architecting,R&D/ Research & Development,Design,Production/ Manufacturing/ Engineering,Business Analytics,Planning,Consulting,Strategic planning,Senior Management/ General Management,Quality Control - Product/ Process,Knowledge Management
