Accounting/ Taxation/ Audit	Accounting/ Taxation/ Audit
Advertising/ PR/ Market Research/ Events	Advertising/ PR/ Market Research/ Events
Agriculture/ Horticulture	Agriculture/ Horticulture,Chemicals/ Fertilizer/ Pesticides
Aviation/ Airlines	Aviation/ Airlines,Aerospace/ Defence,Engineering
Animation/ Multimedia	Animation/ Multimedia,Entertainment/ Media/ Publishing,IT/ Technology - Software/ Services,Advertising/ PR/ Market Research/ Events,Internet/ ECommerce
Apparel/ Garments/ Textiles/ Fashion	Apparel/ Garments/ Textiles/ Fashion,Retail,Consumer Durables/ Semi Durables
Architectural Services/ Interior Design	Architectural Services/ Interior Design,Construction/ Real Estate
Automobile/ Auto Components	Automobile/ Auto Components
Aerospace/ Defence	Aerospace/ Defence,Aviation/ Airlines,Engineering
Banking - Retail	Banking - Retail
Banking - Corporate	Banking - Corporate
Investment Banking	Investment Banking,Financial Services/ Capital Markets
Bio - Tech	Bio - Tech,Pharmaceuticals/ Life Sciences/ Clinical Research
BPO/ ITES/ Call Centers	BPO/ ITES/ Call Centers
KPO/ Analytics	KPO/ Analytics,BPO/ ITES/ Call Centers
Financial Services/ Capital Markets	Financial Services/ Capital Markets
NBFC	NBFC,Banking - Retail,Financial Services/ Capital Markets,Banking - Corporate,Investment Banking,Insurance
Cement	Cement,Iron/ Steel/ Metals/ Mining,Ceramics/ Marble/ Glass/ Rubber
Ceramics/ Marble/ Glass/ Rubber	Ceramics/ Marble/ Glass/ Rubber,Cement,Automobile/ Auto Components
Chemicals/ Fertilizer/ Pesticides	Chemicals/ Fertilizer/ Pesticides,Pharmaceuticals/ Life Sciences/ Clinical Research
Construction/ Real Estate	Construction/ Real Estate
Infrastructure	Infrastructure,Construction/ Real Estate,Engineering,Power/ Energy,Oil/ Gas/ Petrochemicals / Refinery,Iron/ Steel/ Metals/ Mining
Management Consulting	Management Consulting
Consumer Durables/ Semi Durables	Consumer Durables/ Semi Durables,FMCG/ Foods/ Beverages,Retail,Electrical/ Electronics,Wellness/ Cosmetics/ Fitness/ Sports
Facilities Management	Facilities Management,Construction/ Real Estate,BPO/ ITES/ Call Centers,Engineering
Logistics/ Courier/ Cargo/Transportation	Logistics/ Courier/ Cargo/Transportation,
Design	Design,Engineering
Education/ Training	Education/ Training
Electrical/ Electronics	Electrical/ Electronics,Engineering,Power/ Energy
Engineering	Engineering
Entertainment/ Media/ Publishing	Entertainment/ Media/ Publishing,Advertising/ PR/ Market Research/ Events,
Export/ Import/ Trading House	Export/ Import/ Trading House,Logistics/ Courier/ Cargo/Transportation
Wellness/ Cosmetics/ Fitness/ Sports	Wellness/ Cosmetics/ Fitness/ Sports,Retail,Consumer Durables/ Semi Durables
FMCG/ Foods/ Beverages	FMCG/ Foods/ Beverages
Fire/ Security Equipment	Fire/ Security Equipment,Engineering,Security/ Law Enforcement
